"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Houten";20265;5540;14725;2688;10488;1508;6791;2922;3577;1435
"Totaal";"2020";"Huissen";;;;;;;;;;
"Totaal";"2020";"Huizen";18470;6459;12011;2026;8473;1447;6469;2252;2324;966
"Totaal";"2020";"Hulst";12668;4210;8458;1581;6083;753;5025;1609;1373;451
"Totaal";"2020";"Hummelo en Keppel";;;;;;;;;;
"Totaal";"2020";"Hunsel";;;;;;;;;;
"Totaal";"2020";"IJsselham";;;;;;;;;;
"Totaal";"2020";"IJsselmuiden";;;;;;;;;;
"Totaal";"2020";"IJsselstein";14374;4416;9958;1961;6672;1279;4715;2109;2325;809
"Totaal";"2020";"Jacobswoude";;;;;;;;;;
"Totaal";"2020";"Kaag en Braassem";11671;3414;8257;1655;5840;728;4317;1550;1716;674
"Totaal";"2020";"Kampen";22217;7001;15216;1977;11799;1357;7344;2644;3180;2048
"Totaal";"2020";"Kapelle";5271;1438;3833;526;2996;300;2010;695;751;377
"Totaal";"2020";"Katwijk";26615;8143;18472;2309;14464;1615;8614;3367;4070;2421
"Totaal";"2020";"Kerkrade";22967;9419;13548;2410;9078;1965;8421;2769;1843;515
"Totaal";"2020";"Kessel";;;;;;;;;;
"Totaal";"2020";"Kesteren";;;;;;;;;;
"Totaal";"2020";"Koggenland";9318;2647;6671;1355;4731;565;3326;1124;1499;722
"Totaal";"2020";"Kollumerland en Nieuwkruisland";;;;;;;;;;
"Totaal";"2020";"Korendijk";;;;;;;;;;
"Totaal";"2020";"Krimpen aan den IJssel";12420;3772;8648;1045;6514;1033;4504;1671;1586;887
"Totaal";"2020";"Krimpenerwaard";23726;7307;16419;2444;12530;1362;8529;2976;3146;1768
"Totaal";"2020";"Laarbeek";9492;2675;6817;1315;4923;549;3589;1197;1470;561
"Totaal";"2020";"Landerd";6400;1771;4629;978;3261;361;2349;775;1021;484
"Totaal";"2020";"Landgraaf";17697;6213;11484;2038;7984;1404;6892;2398;1719;475
"Totaal";"2020";"Landsmeer";4855;1385;3470;697;2329;430;1690;763;787;230
"Totaal";"2020";"Langedijk";11727;3233;8494;1698;5897;867;4349;1531;1882;732
"Totaal";"2020";"Lansingerland";23841;5412;18429;3383;13002;1976;7784;3973;4913;1759
"Totaal";"2020";"Laren (NH.)";4996;1842;3154;577;2200;363;1724;526;623;281
"Totaal";"2020";"Leek";;;;;;;;;;
"Totaal";"2020";"Leerdam";;;;;;;;;;
"Totaal";"2020";"Leersum";;;;;;;;;;
"Totaal";"2020";"Leeuwarden";63338;29791;33547;8894;19587;4712;19315;6078;5897;2257
"Totaal";"2020";"Leeuwarderadeel";;;;;;;;;;
"Totaal";"2020";"Leiden";68699;37323;31376;9411;17682;3772;17876;5913;5457;2130
